address,latitude,longitude,flag
"150 Rue Champlain, Bromont, QC J2L 1A2, Canada",45.3033555,-72.63795619999999,
"300 Dunlop Rd, Chelsea, Quebec J9B 2N3, Canada",45.5090447,-75.8511838,
"65 Chem. Burnside, Wakefield, QC J0X 3G0, Canada",45.6452392,-75.9338314,
"185 Chem. du Massif, Petite-Rivière-Saint-François, QC G0A 2L0, Canada",47.2786467,-70.6087017,
"1989 Rte du Massif-du-Sud, Saint-Philémon, QC G0R 4A0, Canada",46.62151069999999,-70.4896849,
"67 Rue Dallaire, L'Anse-Saint-Jean, QC G0V 1J0, Canada",48.167831,-70.2879454,
"12 Chem. des Skieurs, Saint-Sauveur, QC J0R 1R2, Canada",45.8810396,-74.1770609,
"321 des Erables, Rigaud, QC J0P 1P0, Canada",45.4690525,-74.3393913,
"671 Rue Maple, Sutton, QC J0E 2K0, Canada",45.1048204,-72.5615905,
"1000 Chem. des Voyageurs, Mont-Tremblant, Quebec J8E 1T1, Canada",46.2098058,-74.5853144,
"2000 Bd du Beau Pré, Beaupré, QC G0A 1E0, Canada",47.0752774,-70.9066532,
"40 Chem. du Mont Owls Head, Mansonville, QC J0E 1X0, Canada",45.0790587,-72.2909111,
"1501 Ch du Mont-Gabriel, Sainte-Adèle, QC J8B 2J9, Canada",45.9239291,-74.1543283,
"231 R. Bennett, Morin-Heights, QC J0R 1H0, Canada",45.8996995,-74.2697565,
"330 Chem. de la Montagne, Piedmont, QC J0R 1K0, Canada",45.9150909,-74.1234807,
"655 Ch. Louis-Dufour, Saint-Sauveur, QC J0R 1R3, Canada",45.8838257,-74.15405439999999,
"600 Chem. du Hibou, Stoneham-et-Tewkesbury, QC G3C 1T3, Canada",47.0269781,-71.38307859999999,
"115 Rte de Val d'Irène, Sainte-Irène, QC G0J 2P0, Canada",48.471659,-67.5725909,
"1418 Chem. de la Vall. Bleue, Val-David, QC J0T 2N0, Canada",46.0260541,-74.2184267,
"2 Marble Dr, Steady Brook, NL A2H 2N2, Canada",48.94839899999999,-57.83094749999999,
"Smokey Mountain Rd, Labrador City, NL A2V 2K3, Canada",52.954789,-66.918893,
"38696 Cabot Trail, Ingonish Beach, NS B0C 1L0, Canada",46.627666,-60.4219612,
"370 Ski Martock Rd, Windsor Forks, NS B0N 2T0, Canada",44.9353253,-64.1719105,
"190 Gord Canning Dr, The Blue Mountains, ON L9Y 1C2, Canada",44.4994982,-80.3104295,
"30 Barrett Chute Rd, Calabogie, ON K0J 1H0, Canada",45.2742891,-76.7802435,
"793522 3rd Line EHS, Mono, ON L9W 5X7, Canada",43.9732566,-80.0465067,
"1800 Loch Lomond Rd, Thunder Bay, ON P7J 1E9, Canada",48.2937673,-89.34701869999999,
"375 Mount Baldy Rd, Shuniah, ON P7A 0M8, Canada",48.5259978,-89.1279428,
"Kaginodaki-79-5 Anikaginodaki, Kitaakita, Akita 018-4624, Japan",39.9573111,140.49767,
"Shimotakano-73-2 Tazawako Obonai, Semboku, Akita 014-1201, Japan",39.7622613,140.7598055,
"Japan, 〒038-2712 Aomori, Nishitsugaru District, Ajigasawa, Nagadairamachi, Nishiiwakiyama−75-2 鯵ヶ沢高原",40.695067,140.2820509,
"Shimizudaira-6838-68 Sarashina, Bandai, Yama District, Fukushima 969-3302, Japan",37.5857807,140.0336164,
"3035-2 Takasucho Nishibora, Gujo, Gifu 501-5305, Japan",35.9900624,136.871066,
"4670-75 Takasucho Hirugano, Gujo, Gifu 501-5301, Japan",36.0058996,136.90793,
"3086ｰ1 Takasucho Nishibora, Gujo, Gifu 501-5305, Japan",35.9985752,136.8771902,
"3250 Takasucho Owashi, Gujo, Gifu 501-5303, Japan",35.943554,136.9194875,
"512 Takasucho Washimi, Gujo, Gifu 501-5302, Japan",35.9721502,136.9125401,
"Japan, 〒379-1728 Gunma, Tone District, Minakami, Yubiso, 湯吹山国有林",36.83537889999999,138.9454759,
"吾妻郡嬬恋村大字干俣 バラギ高原, Gunma 377-1611, Japan",36.5419378,138.4768264,
"5 Gokita-44番地 Nishi, Higashikawa, Kamikawa District, Hokkaido 071-1404, Japan",43.7293575,142.5356983,
"Nakagoryo, Furano, Hokkaido 076-8511, Japan",43.3232566,142.3546251,
"Nishioka-112 Kamuicho, Asahikawa, Hokkaido 074-1181, Japan",43.703924,142.1867844,
"Tokiwa, Akaigawa, Yoichi District, Hokkaido 046-0571, Japan",43.0945863,140.9729901,
"Nisshin, Nayoro, Hokkaido 096-0066, Japan",44.3821749,142.5262673,
"7 Sen-17号 Kita, Pippu, Kamikawa District, Hokkaido 078-0327, Japan",43.9320972,142.4972875,
"Japan, 〒048-1711 Hokkaido, Abuta District, Rusutsu, Izumikawa, 13 13番地",42.7464966,140.9031225,
"2 Chome-4 Suehiro, Yubari, Hokkaido 068-0411, Japan",43.051382,141.9694202,
"Komatsukura-14-3 Nagayama, Shizukuishi, Iwate District, Iwate 020-0585, Japan",39.8220976,140.9385054,
"１１７ Appikogen, Hachimantai, Iwate 028-7306, Japan",40.01130879999999,140.9932274,
"国有林内 Wagacho Iwasaki Shinden, Kitakami, Iwate 024-0322, Japan",39.2329753,140.9186092,
"Nishitako Okunakayama, Ichinohe, Ninohe District, Iwate 028-5134, Japan",40.0891502,141.2011935,
"Japan, 〒399-9211 Nagano, Kitaazumi District, Hakuba, Kamishiro, 22184-10 白馬五竜エスカルプラザ",36.662937,137.836664,
"24196-47 Kamishiro, Hakuba, Kitaazumi District, Nagano 399-9211, Japan",36.6764392,137.816304,
"12860-1 Chikuniko, Otari, Kitaazumi District, Nagano 399-9422, Japan",36.7736493,137.887403,
"Hokujo, Hakuba, Kitaazumi District, Nagano 399-9301, Japan",36.6958787,137.8628653,
"Japan, 〒399-9422 Nagano, Kitaazumi District, Otari, 白馬乗鞍高原1285−１",36.764653,137.8816444,
"4819 Taira, Omachi, Nagano 398-0001, Japan",36.5583433,137.803572,
"Taira, Omachi, Nagano 398-0001, Japan",36.5522016,137.7660875,
"3807 Nojiri, Shinano, Kamiminochi District, Nagano 389-1303, Japan",36.8262716,138.1616096,
"Madaraokogen, Iiyama, Nagano 389-2257, Japan",36.8521069,138.2912053,
"7148 Hirao, Yamanochi, Shimotakai District, Nagano 381-0401, Japan",36.7205693,138.4973314,
"3575-8 Furumi, Shinano, Kamiminochi District, Nagano 389-1302, Japan",36.8535654,138.2625863,
"3682-3 Togakushi, Nagano, 381-4101, Japan",36.7532548,138.0919634,
"12840-1 Chikuniko, Otari, Kitaazumi District, Nagano 399-9422, Japan",36.7514662,137.8700261,
"458 Kamishiro, Hakuba, Kitaazumi District, Nagano 399-9211, Japan",36.6310338,137.8442718,
"Ryozenji, Myoko, Niigata 944-0061, Japan",36.9969533,138.1823747,
"4820 Yasuzukaku Sugawa, Joetsu, Niigata 942-0534, Japan",37.0549965,138.4849328,
"2056-108 Maiko, Minamiuonuma, Niigata 949-6423, Japan",36.9828763,138.8261957,
"2910-114 Koguriyama, Minamiuonuma, Niigata 949-6636, Japan",37.0714276,138.8458556,
"Japan, 〒949-2113 Niigata, Myoko, Suginosawa, 272 レストラン アリエスカ 272",36.8567914,138.1549209,
"Japan, 〒957-0333 Niigata, Shibata, Kamisanko, 大平国有林無番地",37.9342559,139.4249577,
"5044-1 Tsuchidaru, Yuzawa, Minamiuonuma District, Niigata 949-6103, Japan",36.909795,138.8488978,
"Zaoonsen, Yamagata, 990-2301, Japan",38.1672471,140.3942144,
"2-chome-9-1 Nisekohirafu 1 Jo, Kutchan, Abuta District, Hokkaido 044-0080, Japan",42.8644634,140.7017795,
"Dai 1 Chiwari-509-1 Matsuoyoriki, Hachimantai, Iwate 028-7302, Japan",39.8943395,140.9766377,
