ACTIVE U.S. SKI AREAS - 2025-26,,CORE STATS,,,CLASSIFICATION (Current year totals),,PASS AFFILIATIONS,RECENT OPERATING HISTORY,,,,LIFT FLEETS,,,,,,,,,,,,,,,,,,
,Ski Big Bear,650,26,50,Public w/Aerial Lifts,Independent,"Indy, Indy+, WNEP Ski Card, Indy Learn-To-Turn, Pennsylvania Outdoor Adventure Pass",Yes,Yes,Yes,Yes,0,,,,,,,,,,,4,,,,,,3,7
,Ski Sawmill,515,15,24,Public w/Aerial Lifts,Independent,"Indy, Indy+, WNEP Ski Card",Yes,Yes,Yes,Yes,0,,,,,,,,,1,,1,,2,,,,,4
,Spring Mountain,420,45,27,Public w/Aerial Lifts,Independent,Pennsylvania Outdoor Adventure Pass,Yes,Yes,Yes,Yes,0,,,,,,,,,1,,3,,,,,1,1,6
,The Hideout,131,,,Private w/Aerial Lifts,Independent,,Yes,Yes,Yes,,0,,,,,,,,,,,1,,,,,,1,2
,The Peak at Nemacolin,300,25,31,Private w/Aerial Lifts,Independent,,Yes,Yes,Yes,,0,,,,,,,,1,,,,,,,,1,,2
,Tussey,500,38,41,Public w/Aerial Lifts,Independent,"Indy, Indy+",Yes,Yes,Yes,Yes,0,,,,,,,,1,,,1,,1,,,,,3
,Whitetail,935,109,40,Public w/Aerial Lifts,Vail Resorts,"Epic, Epic Local, Epic Northeast Value, Epic Northeast Midweek, Epic Day All, Epic Day 32, Epic Day 22",Yes,Yes,Yes,Yes,0,,,,,,,1,3,,,1,,,,,,2,7
U.S. - Rhode Island,Yawgoo,240,36,39,Public w/Aerial Lifts,Independent,Freedom,Yes,Yes,Yes,Yes,0,,,,,,,,,,,2,,,,,1,,3
U.S. - South Dakota,Deer Mountain,800,,,Private w/Aerial Lifts,Independent,,Yes,Yes,Yes,,0,,,,,,,,,1,,1,,,,,,,2
,Great Bear,182,21,41,Public w/Aerial Lifts,Independent,"Indy, Indy+",Yes,Yes,Yes,Yes,0,,,,,,,,1,,,,,,,,1,1,3
,Terry Peak,"1,200",450,150,Public w/Aerial Lifts,Independent,"Indy, Indy+",Yes,Yes,Yes,Yes,0,,,,,,,3,,1,,,,,,,,1,5
U.S. - Tennessee,Ober Mountain,526,38,35,Public w/Aerial Lifts,Independent,"Indy, Indy+",Yes,Yes,Yes,,1,,,,,,,,3,,,,,,,,,2,6
U.S. - Utah,Alta,"2,538","2,614",526,Public w/Aerial Lifts,Independent,"Ikon, Mountain Collective, Altabird Pass, Ski Utah Yeti Pass, Ski Utah Kids Passport, Ski Utah Gold Pass",Yes,Yes,Yes,Yes,0,,,,,1,,3,1,1,,1,,,,1,1,2,11
,Beaver Mountain,"1,700",880,300,Public w/Aerial Lifts,Independent,"Indy, Indy+, Ski Utah Yeti Pass, Ski Utah Kids Passport, Ski Utah Gold Pass",Yes,Yes,Yes,,0,,,,,,,,,3,,1,,,,,,2,6
,Brian Head,"1,320",650,301,Public w/Aerial Lifts,Mountain Capital Partners,"Power Pass Full, Power Pass Select, Power Pass Core, Weekday Power Pass, Ski Utah Yeti Pass, Ski Utah Kids Passport, Ski Utah Gold Pass",Yes,Yes,Yes,Yes,0,,,,,,,2,,5,,1,,,,,,2,10
,Brighton,"1,745","1,050",502,Public w/Aerial Lifts,Boyne Resorts,"Ikon, Ikon Base, Ikon Session, New England Pass, Boyne Passport, Boyne Explorer, Michigan Pass, Ski Utah Yeti Pass, Ski Utah Kids Passport, Ski Utah Gold Pass",Yes,Yes,Yes,Yes,0,,,,,1,,3,1,1,,,,,,,,2,8
,Buckskin,80,10,,Public - Surface Lifts Only,Independent,,Yes,Yes,Yes,,0,,,,,,,,,,,,,,,,1,,1
,Cherry Peak,"1,275",400,300,Public w/Aerial Lifts,Independent,"Indy Allied, Freedom, Ski Utah Yeti Pass, Ski Utah Kids Passport, Ski Utah Gold Pass",Yes,Yes,Yes,,0,,,,,,,,,3,,,,,,,,1,4
,Deer Valley,"3,040","4,926",294,Public w/Aerial Lifts,Alterra ,"Ikon, Ski Utah Yeti Pass, Ski Utah Kids Passport, Ski Utah Gold Pass",Yes,Yes,Yes,Yes,0,2,,,,2,,20,1,5,,1,,,,1,,5,37
,Eagle Point,"1,500",650,325,Public w/Aerial Lifts,Independent,"Indy, Indy+, Ski Utah Yeti Pass, Indy Learn-To-Turn, Ski Utah Kids Passport, Ski Utah Gold Pass",Yes,Yes,Yes,Yes,0,,,,,,,,1,1,,2,,,,1,,,5
,Gateway Parks Salt Lake,,,,Public - Surface Lifts Only,Gateway,,No,No,Yes,,0,,,,,,,,,,,,,,,,,1,1
,Gateway Spanish Forks,,,,Public - Surface Lifts Only,Gateway,,Yes,Yes,Yes,,0,,,,,,,,,,,,,,,,,1,1
,Nordic Valley,"1,695",500,275,Public w/Aerial Lifts,Mountain Capital Partners,"Power Pass Full, Power Pass Select, Power Pass Core, Weekday Power Pass, Ski Utah Yeti Pass, Ski Utah Kids Passport, Ski Utah Gold Pass",Yes,Yes,Yes,,0,,,,,1,,,,1,,2,,,,,,1,5
,Park City,"3,226","7,300",355,Public w/Aerial Lifts,Vail Resorts,"Epic, Epic Local, Epic Tahoe Local, Epic Day All, Ski Utah Yeti Pass, Ski Utah Kids Passport, Ski Utah Gold Pass",Yes,Yes,Yes,Yes,0,3,1,1,,6,,10,5,7,,3,,,,,2,3,41
,Powder Mountain,"1,995","5,000",345,Public w/Aerial Lifts,Independent,"Ski Utah Yeti Pass, Ski Utah Kids Passport, Ski Utah Gold Pass",Yes,Yes,Yes,Yes,0,,,,,,,3,7,,,,,,,1,1,1,13
,Snowbasin,"3,002","3,000",324,Public w/Aerial Lifts,Holding Family,"Ikon, Mountain Collective, Ski Utah Yeti Pass, Ski Utah Kids Passport, Ski Utah Gold Pass",Yes,Yes,Yes,Yes,1,2,,,,3,,3,,1,,,,,,,1,2,13
,Snowbird,"3,240","2,500",498,Public w/Aerial Lifts,Powdr,"Ikon, Ikon Base, Mountain Collective, Altabird Pass, Ski Utah Yeti Pass, Ski Utah Kids Passport, Ski Utah Gold Pass",Yes,Yes,Yes,Yes,1,,,,,,,6,1,,,3,,,,,,3,14
,Snowland,250,,,Public - Surface Lifts Only,Independent,,No,No,Yes,,0,,,,,,,,,,,,,,,,2,,
,Solitude,"2,041","1,200",438,Public w/Aerial Lifts,Alterra ,"Ikon, Ikon Base, Ikon Session, Ski Utah Yeti Pass, Ski Utah Kids Passport, Ski Utah Gold Pass",Yes,Yes,Yes,Yes,0,,,,,1,,3,2,1,,1,,,,,,1,9
,Sundance,"2,150",520,275,Public w/Aerial Lifts,Independent,"Power Pass Full, Power Pass Select, Ski Utah Yeti Pass, Ski Utah Kids Passport, Ski Utah Gold Pass",Yes,Yes,Yes,Yes,0,,,,,,,1,4,1,,,,,,,,3,9
,Utah Olympic Park,"1,196",,,Private w/Aerial Lifts,Independent,,Yes,Yes,Yes,,0,,,,,,,1,1,,,2,,,,,,1,5
,Wasatch Peaks Ranch,"2,300","3,000",325,Private w/Aerial Lifts,Independent,,Yes,Yes,Yes,,0,1,,,,,,5,,1,,,,,,,,1,8
,Woodward Park City,349,,150,Public w/Aerial Lifts,Powdr,"Ski Utah Yeti Pass, Ski Utah Kids Passport, Ski Utah Gold Pass",Yes,Yes,Yes,Yes,0,,,,,,,,1,,,,,,,,,,1
U.S. - Vermont,77 Winter Sports Park,90,,,Private - Surface Lifts Only,Independent,,Yes,Yes,Yes,,0,,,,,,,,,,,,,,,,1,,1
,Ascutney,450,26,,Public - Surface Lifts Only,Independent,,Yes,Yes,Yes,Yes,0,,,,,,,,,,,,,1,,,1,,2
,Bellows Falls,200,,,Public - Surface Lifts Only,Independent,,No,Yes,Yes,,0,,,,,,,,,,,,,,,,1,,1
,Bolton Valley,"1,704",300,312,Public w/Aerial Lifts,Independent,"Indy, Indy+, Uphill New England, Ski Vermont 4 Pass, Indy Learn-To-Turn, Ski Vermont 5th Grade Passport",Yes,Yes,Yes,Yes,0,,,,,,,,2,,,3,,,,,1,,6
,Brattleboro,204,8,,Public - Surface Lifts Only,Independent,,Yes,Yes,Yes,Yes,0,,,,,,,,,,,,,1,,,,,1
,Bromley,"1,334",178,145,Public w/Aerial Lifts,Fairbank Group,"Uphill New England, Ski Vermont 4 Pass, Ski Vermont 5th Grade Passport",Yes,Yes,Yes,Yes,0,,,,,,,1,1,,,4,,1,,,,2,9
,Burke,"2,057",270,217,Public w/Aerial Lifts,Schaefer Family,"Indy, Indy+, Ski Vermont 4 Pass, Ski Vermont 5th Grade Passport",Yes,Yes,Yes,Yes,0,,,,,,,2,,,,,,1,1,,,1,5
,Cochran’s,350,15,150,Public - Surface Lifts Only,Independent,Ski Vermont 5th Grade Passport,Yes,Yes,Yes,Yes,0,,,,,,,,,,,,,1,,,1,,2
,Hard'Ack,100,,,Public - Surface Lifts Only,Independent,,Yes,Yes,Yes,Yes,0,,,,,,,,,,,,,,,,1,,1
,Harrington Hill,160,,,Public - Surface Lifts Only,Independent,,Yes,Yes,Yes,,0,,,,,,,,,,,,,,,,1,,1
,Hermitage Club,"1,400",200,,Private w/Aerial Lifts,Independent,,Yes,Yes,Yes,,0,,,,,1,,,2,1,,,,,,,,1,5
,Jay Peak,"2,112",485,349,Public w/Aerial Lifts,Pacific Group Resorts,"Indy, Indy+, Ski Vermont 4 Pass, Indy Learn-To-Turn, Ski Vermont 5th Grade Passport",Yes,Yes,Yes,Yes,1,,,,,,,1,3,1,,1,,,,,,2,9
,Killington,"2,977","1,509",230,Public w/Aerial Lifts,Phill Gross,"Ikon, Ikon Base, Ikon Session, Uphill New England, Killington Pass, Ski Vermont 4 Pass, Ski Vermont 5th Grade Passport",Yes,Yes,Yes,Yes,0,2,,,,2,,4,5,2,,1,,,,1,,3,20
,Lyndon Outing Club,433,18,,Public - Surface Lifts Only,Independent,Ski Vermont 5th Grade Passport,No,Yes,Yes,,0,,,,,,,,,,,,,1,,,1,,2
,Mad River Glen,"2,037",915,228,Public w/Aerial Lifts,Independent,"Ski Vermont 4 Pass, Ski Vermont 5th Grade Passport",Yes,Yes,Yes,Yes,0,,,,,,,,,,,3,1,,,,1,,5
,Magic Mountain,"1,500",405,130,Public w/Aerial Lifts,Independent,"Indy, Indy+, Uphill New England, Ski Vermont 4 Pass, Ski Vermont 5th Grade Passport",Yes,Yes,Yes,Yes,0,,,,,,,,1,,,2,,,,,1,1,5
,Middlebury Snowbowl,920,200,200,Public w/Aerial Lifts,Independent,"Indy, Indy+, Uphill New England, Ski Vermont 4 Pass, Ski Vermont 5th Grade Passport",Yes,Yes,Yes,Yes,0,,,,,,,,1,2,,,,,,,,1,4
,Mount Snow,"1,700",601,150,Public w/Aerial Lifts,Vail Resorts,"Epic, Epic Local, Epic Northeast Value, Epic Northeast Midweek, Epic Day All, Epic Day 32, Ski Vermont 4 Pass, Ski Vermont 5th Grade Passport",Yes,Yes,Yes,Yes,0,,,,,2,,4,,5,,2,,,,,1,5,19
,Northeast Slopes,360,35,,Public - Surface Lifts Only,Independent,Ski Vermont 5th Grade Passport,Yes,Yes,Yes,,0,,,,,,,,,,,,,1,,,2,,3
,Okemo,"2,200",667,120,Public w/Aerial Lifts,Vail Resorts,"Epic, Epic Local, Epic Northeast Value, Epic Northeast Midweek, Epic Day All, Epic Day 32, Ski Vermont 4 Pass, Ski Vermont 5th Grade Passport",Yes,Yes,Yes,Yes,0,,,,,2,,4,5,2,,,,,,1,,6,20
,Pico,"1,967",468,230,Public w/Aerial Lifts,Phill Gross,"Ikon, Ikon Base, Ikon Session, Uphill New England, Killington Pass, Ski Vermont 4 Pass, Ski Vermont 5th Grade Passport",Yes,Yes,Yes,Yes,0,,,,,,,2,,2,,1,,,,,,2,7
,Quechee,650,100,70,Public w/Aerial Lifts,Independent,"Ski Vermont 4 Pass, Ski Vermont 5th Grade Passport",Yes,Yes,Yes,Yes,0,,,,,,,,1,,,,,1,,,1,,3
,Saskadena Six,650,100,90,Public w/Aerial Lifts,Independent,"Indy, Indy+, Ski Vermont 4 Pass, Uphill New England, Ski Vermont 5th Grade Passport",Yes,Yes,Yes,Yes,0,,,,,,,,1,,,1,,,,,,1,3
,Smugglers' Notch,"2,610","1,060",322,Public w/Aerial Lifts,Independent,"Ski Vermont 4 Pass, Ski Vermont 5th Grade Passport",Yes,Yes,Yes,Yes,0,,,,,,,,,,,6,,1,,,,2,9
,Stowe,"2,360",485,314,Public w/Aerial Lifts,Vail Resorts,"Epic, Epic Local, Epic Northeast Value, Epic Northeast Midweek, Epic Day All, Epic Day 32, Ski Vermont 4 Pass, Ski Vermont 5th Grade Passport",Yes,Yes,Yes,Yes,0,2,,,,1,,3,1,1,,2,,,,,,2,12
,Stratton,"2,003",670,180,Public w/Aerial Lifts,Alterra ,"Ikon, Ikon Base, Ikon Session, Ski Vermont 4 Pass, Ski Vermont 5th Grade Passport",Yes,Yes,Yes,Yes,0,1,,,,4,,1,2,1,,1,,,,,,4,14
,Sugarbush,"2,600",581,267,Public w/Aerial Lifts,Alterra ,"Ikon, Ikon Base, Ikon Session, Ski Vermont 4 Pass, Ski Vermont 5th Grade Passport",Yes,Yes,Yes,Yes,0,,,,,,,5,6,1,,1,,1,,,,3,17
,Vermont State (Randolph Ropetow),100,,,Private - Surface Lifts Only,Independent,,Yes,Yes,Yes,,0,,,,,,,,,,,,,,,,1,,1
U.S. - Virginia,Bryce,500,50,30,Public w/Aerial Lifts,Independent,"Indy, Indy+",Yes,Yes,Yes,Yes,0,,,,,,,,3,,,,,,,,,2,5
,Homestead,700,45,50,Public w/Aerial Lifts,Omni Hotels,,Yes,Yes,Yes,,0,,,,,,,,,,,1,,,,,1,,2
,Massanutten,"1,155",70,35,Public w/Aerial Lifts,Independent,"Indy, Indy+",Yes,Yes,Yes,Yes,0,,,,,,,1,2,1,,,,,,,,3,7
,Wintergreen,"1,003",129,40,Public w/Aerial Lifts,Pacific Group Resorts,"Indy, Indy+",Yes,Yes,Yes,Yes,0,,,,,2,,,1,1,,1,,,,,,3,8
U.S. - Washington,49° North,"1,851","2,325",301,Public w/Aerial Lifts,CMR Lands,"Indy, Indy+, Silver/49 North",Yes,Yes,Yes,,0,,,,,,,1,1,,,4,,,,,,1,7
,Badger Mountain,325,10,120,Public - Surface Lifts Only,Independent,,Yes,Yes,Yes,,0,,,,,,,,,,,,,1,,,2,,3
,Bluewood,"1,125",355,300,Public w/Aerial Lifts,Independent,"Indy, Indy+, Indy Learn-To-Turn",Yes,Yes,Yes,,0,,,,,,,,,2,,,,,,,,2,4
,Crystal Mountain WA,"2,602","2,300",348,Public w/Aerial Lifts,Alterra ,"Ikon, Ikon Base, Ikon Session",Yes,Yes,Yes,Yes,0,1,,,,2,,2,1,2,,2,,,,,,1,11
,Echo Valley,900,70,100,Public - Surface Lifts Only,Independent,,Yes,Yes,Yes,,0,,,,,,,,,,,,,,,1,3,,4
,Hurricane Ridge,800,250,400,Public - Surface Lifts Only,Independent,"Indy, Indy+",Yes,Yes,Yes,,0,,,,,,,,,,,,,,,1,2,,3
,Leavenworth Ski Hill,300,20,89,Public - Surface Lifts Only,Independent,"Indy, Indy+",Yes,Yes,Yes,,0,,,,,,,,,,,,,,,,2,1,3
,Loup Loup,"1,240",300,86,Public w/Aerial Lifts,Independent,"Indy, Indy+, Indy Learn-To-Turn",Yes,Yes,Yes,,0,,,,,,,,1,,,,,,,1,1,,3
,Meany Lodge,N/A,100,,Private - Surface Lifts Only,Independent,,Yes,Yes,Yes,,0,,,,,,,,,,,,,,,,1,,1
,Mission Ridge,"2,250","2,000",200,Public w/Aerial Lifts,Larry Scrivanich,"Indy, Indy+, Powder Alliance",Yes,Yes,Yes,Yes,0,,,,,,,1,,,,3,,,,,2,1,7
,Mt. Baker,"1,489","1,000",688,Public w/Aerial Lifts,Independent,,Yes,Yes,Yes,Yes,0,,,,,,,,7,,,,,,,,2,,9
,Mt. Spokane,"2,071","1,704",300,Public w/Aerial Lifts,Independent,Freedom,Yes,Yes,Yes,,0,,,,,,,,,1,,5,,,,,1,1,8
,Sahalie Ski Club,N/A,80,,Private - Surface Lifts Only,Independent,,Yes,Yes,Yes,,0,,,,,,,,,,,,,,,,1,,1
,Snoqualmie: Alpental,"2,280",875,428,Public w/Aerial Lifts,Boyne Resorts,"Ikon, Ikon Base, Ikon Session, New England Pass, Boyne Passport, Boyne Explorer, Michigan Pass",Yes,Yes,Yes,,0,,,,,,,1,,3,,1,,,,,,1,6
,Snoqualmie: Summit,"1,255","1,119",,Public w/Aerial Lifts,Boyne Resorts,"Ikon, Ikon Base, Ikon Session, New England Pass, Boyne Passport, Boyne Explorer, Michigan Pass",Yes,Yes,Yes,Yes,0,,,,,,,2,5,3,,5,,,,,,4,19
,Stevens Pass,"1,784","1,125",460,Public w/Aerial Lifts,Vail Resorts,"Epic, Epic Local, Epic Day All, Epic Day 32",Yes,Yes,Yes,Yes,0,,,,,,,4,2,3,,1,,,,,,2,12
,White Pass,"2,000","1,402",400,Public w/Aerial Lifts,Independent,"Indy, Indy+, Powder Alliance",Yes,Yes,Yes,Yes,0,,,,,,,2,2,1,,,,,,,,3,8
U.S. - West Virginia,Canaan Valley,850,95,117,Public w/Aerial Lifts,Independent,"Indy, Indy+, Ski West Virginia Kids Passport",Yes,Yes,Yes,Yes,0,,,,,,,,1,2,,,,,,,,3,6
,Oglebay,168,,,Public w/Aerial Lifts,Independent,Ski West Virginia Kids Passport,Yes,Yes,Yes,,0,,,,,,,,,1,,,,,,,1,,2
,Silver Creek (Snowshoe),703,,150,Public w/Aerial Lifts,Alterra ,"Ikon, Ikon Base, Ikon Session, Ski West Virginia Kids Passport",Yes,Yes,Yes,,0,,,,,,,,2,2,,,,,,,1,1,6
,Snowshoe/Western Territory,"1,500",257,150,Public w/Aerial Lifts,Alterra ,"Ikon, Ikon Base, Ikon Session, Ski West Virginia Kids Passport",Yes,Yes,Yes,Yes,0,,,,,,,3,1,3,,,,,,,,,7
,Timberline,"1,000",100,170,Public w/Aerial Lifts,Perfect Family,"Perfect Pass, Ski West Virginia Kids Passport",Yes,Yes,Yes,Yes,0,,,,,1,,,1,,,,,,,,,2,4
,Winterplace,603,90,100,Public w/Aerial Lifts,Independent,"Indy, Indy+, Ski West Virginia Kids Passport",Yes,Yes,Yes,Yes,0,,,,,,,,2,3,,2,,,,,,2,9
U.S. - Wisconsin,Alpine Valley WI,388,90,80,Public w/Aerial Lifts,Wisconsin Resorts,"Wisconsin Resorts, Skiing Wisconsin Passport",Yes,Yes,Yes,Yes,0,,,,,,,3,,4,,,,,,,2,6,15
,Ausblick Ski Club,182,10,,Private w/Aerial Lifts,Independent,,Yes,Yes,Yes,Yes,0,,,,,,,,,1,,,,,,,1,,2
,Blackhawk,300,,,Private - Surface Lifts Only,Independent,,Yes,Yes,Yes,Yes,0,,,,,,,,,,,,,,,,4,,4
,Bruce Mound,375,40,12,Public w/Aerial Lifts,Independent,"Indy, Indy+",Yes,Yes,Yes,Yes,0,,,,,,,,,1,,,,2,,,3,,6
,Camp 10,250,120,60,Public w/Aerial Lifts,Independent,,Yes,Yes,Yes,Yes,0,,,,,,,,,,,1,,2,,,1,,4
,Cascade,450,176,80,Public w/Aerial Lifts,Independent,Skiing Wisconsin Passport,Yes,Yes,Yes,Yes,0,,,,,,,2,3,1,,2,,,,,1,1,10
,Christie Mountain,350,100,33,Public w/Aerial Lifts,Independent,"Indy, Indy+, Skiing Wisconsin Passport, Indy Learn-To-Turn",Yes,Yes,Yes,Yes,0,,,,,,,,,,,1,,1,,,3,,5
,Christmas Mountain Village,250,40,40,Public w/Aerial Lifts,Independent,Skiing Wisconsin Passport,Yes,Yes,Yes,Yes,0,,,,,,,,1,,,,,,,,1,,2
,Crystal Ridge,183,50,40,Public w/Aerial Lifts,Schmitz Brothers,"Indy, Indy+, Freedom, Sno Pass, Skiing Wisconsin Passport, Indy Learn-To-Turn",Yes,Yes,Yes,Yes,0,,,,,,,,,,,1,,,,,2,2,5
,Devil’s Head,500,300,70,Public w/Aerial Lifts,Independent,Skiing Wisconsin Passport,Yes,Yes,Yes,Yes,0,,,,,,,,6,,,,,,,,2,,8
,Fox Hill ,226,,,Private - Surface Lifts Only,Independent,,Yes,Yes,Yes,Yes,0,,,,,,,,,,,,,,,,4,,4
,Grand Geneva (Mountain Top),115,30,34,Public w/Aerial Lifts,Independent,Skiing Wisconsin Passport,Yes,Yes,Yes,Yes,0,,,,,,,,,,,3,,,,,1,2,6
,Granite Peak,700,400,60,Public w/Aerial Lifts,Midwest Family Ski Resorts,"Indy, Indy+, Legendary Pass, Skiing Wisconsin Passport",Yes,Yes,Yes,Yes,0,,,,,1,,2,,2,,,,,,,,2,7
,Heiliger Huegel Ski Club,200,20,,Private w/Aerial Lifts,Independent,,Yes,Yes,Yes,Yes,0,,,,,,,,,,,1,,,,,1,,2
,Kettlebowl,325,,,Public - Surface Lifts Only,Independent,,Yes,Yes,Yes,,0,,,,,,,,,,,,,,,,5,,5
,Keyes Peak,230,15,60,Public - Surface Lifts Only,Independent,,Yes,Yes,Yes,Yes,0,,,,,,,,,,,,,,,,3,,3
,Little Switzerland,200,50,45,Public w/Aerial Lifts,Schmitz Brothers,"Indy, Indy+, Freedom, Sno Pass, Skiing Wisconsin Passport, Indy Learn-To-Turn",Yes,Yes,Yes,Yes,0,,,,,,,,,,,4,,,,,3,2,9
,Mont du Lac ,320,20,55,Public w/Aerial Lifts,Independent,Skiing Wisconsin Passport,Yes,Yes,Yes,Yes,0,,,,,,,,,,,1,,,,,1,1,3
,Mount Ashwabay,317,65,120,Public w/Aerial Lifts,Independent,Skiing Wisconsin Passport,Yes,Yes,Yes,Yes,0,,,,,,,,,,,1,,,,,1,,2
,Mount La Crosse,516,100,41,Public w/Aerial Lifts,Independent,"Indy, Indy+, Skiing Wisconsin Passport",Yes,Yes,Yes,Yes,0,,,,,,,,,,,3,,,,,,1,4
,Nordic Mountain,265,60,50,Public w/Aerial Lifts,Schmitz Brothers,"Indy, Indy+, Freedom, Sno Pass, Skiing Wisconsin Passport, Indy Learn-To-Turn",Yes,Yes,Yes,Yes,0,,,,,,,,,1,,1,,,,,2,2,6
,Nutt Hill,120,7,,Public - Surface Lifts Only,Independent,,No,No,Yes,Yes,0,,,,,,,,,,,,,,,,,1,1
,Paul Bunyan,150,,65,Public - Surface Lifts Only,Independent,Indy Allied,Yes,Yes,Yes,Yes,0,,,,,,,,,,,,,1,,,5,,6
,Powers Bluff,250,,,Public - Surface Lifts Only,Independent,,Yes,Yes,Yes,Yes,0,,,,,,,,,,,,,,,,1,,1
,Standing Rocks Park,125,30,45,Public - Surface Lifts Only,Independent,,Yes,Yes,Yes,,0,,,,,,,,,,,,,,,,1,,1
,Sunburst,197,30,11,Public w/Aerial Lifts,Independent,"Indy, Indy+, Skiing Wisconsin Passport",Yes,Yes,Yes,Yes,0,,,,,,,,,,,3,,,,,4,2,9
,Sunset Hill (Forest Springs),N/A,,,Public - Surface Lifts Only,Independent,,Yes,Yes,Yes,,0,,,,,,,,,,,,,,,,2,1,3
,Triangle Sports Area,75,,,Public - Surface Lifts Only,Independent,,Yes,Yes,Yes,,0,,,,,,,,,,,,,,,,3,,3
,Trollhaugen,272,86,50,Public w/Aerial Lifts,Independent,"Indy, Indy+, Skiing Wisconsin Passport",Yes,Yes,Yes,Yes,0,,,,,,,,4,,,,,,,,5,,9
,Tyrol Basin,300,40,51,Public w/Aerial Lifts,Independent,"Indy, Indy+, Skiing Wisconsin Passport",Yes,Yes,Yes,Yes,0,,,,,,,,,3,,,,,,,2,2,7
,Whitecap Mountains,455,400,200,Public w/Aerial Lifts,Independent,Skiing Wisconsin Passport,Yes,Yes,Yes,Yes,0,,,,,,,,,1,,4,,,,,,1,6
,Whitetail Ridge,185,,,Public - Surface Lifts Only,Independent,,Yes,Yes,Yes,,0,,,,,,,,,,,,,1,,,,,1
,Wilmot,200,120,48,Public w/Aerial Lifts,Vail Resorts,"Epic, Epic Local, Epic Day All, Epic Day 32, Epic Day 22, Skiing Wisconsin Passport",Yes,Yes,Yes,Yes,0,,,,,,,,3,1,,2,,,,,2,2,10
,Winter Park (Kewaunee ),160,5,,Public - Surface Lifts Only,Independent,,Yes,Yes,Yes,,0,,,,,,,,,,,,,1,,,1,,2
U.S. - Wyoming,Antelope Butte,"1,000",225,200,Public w/Aerial Lifts,Independent,"Indy, Indy+",Yes,Yes,Yes,Yes,0,,,,,,,,,,,2,,,,,,1,3
,Beartooth Basin,"1,000",90,,Public - Surface Lifts Only,Independent,,No,Yes,Yes,,0,,,,,,,,,,,,,,,2,,,2
,Grand Targhee,"2,270","2,602",465,Public w/Aerial Lifts,Independent,"Mountain Collective, Ski Idaho Kids Passport",Yes,Yes,Yes,Yes,0,,,,,1,,2,2,,,,,,,,,1,6
,Hogadon Basin,600,60,140,Public w/Aerial Lifts,Independent,,Yes,Yes,Yes,Yes,0,,,,,,,,,,,1,,,,,,1,2
,Jackson Hole,"4,139","2,500",369,Public w/Aerial Lifts,Independent,"Ikon, Mountain Collective",Yes,Yes,Yes,Yes,1,2,,,,,,6,3,,,1,,,,,1,2,16
,Meadowlark,"1,000",300,160,Public w/Aerial Lifts,Independent,"Indy, Indy+",Yes,Yes,Yes,Yes,0,,,,,,,,,1,,1,,,,,,,2
,Pine Creek,"1,425",640,300,Public w/Aerial Lifts,Independent,,Yes,Yes,Yes,,0,,,,,,,,1,,,,,,,,,1,2
,Snow King,"1,571",500,225,Public w/Aerial Lifts,Independent,"Indy, Indy+, Powder Alliance",Yes,Yes,Yes,Yes,0,1,,,,,,,1,2,,,,,,,2,3,9
,Snowy Range,865,250,245,Public w/Aerial Lifts,Independent,,Yes,Yes,Yes,Yes,0,,,,,,,,,1,,3,,,,,,1,5
,White Pine,"1,000",350,151,Public w/Aerial Lifts,Independent,"Indy, Indy+",Yes,Yes,Yes,Yes,0,,,,,,,,,2,,,,,,,,,2